group,cbr_target,band,criterion,criterion_value,best_varied_value,best_p_keep,best_eta,aoi_mean_ms,paoi_p95_ms,vth_200ms,clr_broad,cbr_p50_actual,cbr_p95_actual
G2,50,0_250m,min_E[AoI],8168,tx20,0.8,5.00,8168,200.0,0.6202,0.0033,0.480,0.550
G2,50,0_250m,min_PAoI_p95,200.0,tx17,0.0,1.00,8182,200.0,0.6220,0.0087,0.440,0.510
G2,50,0_250m,min_V(A_th=200ms),0.6197,tx23,0.8,5.00,8184,200.0,0.6197,0.0014,0.500,0.560
G2,50,0_250m,min_CLR_broad,0.0014,tx23,0.8,5.00,8184,200.0,0.6197,0.0014,0.500,0.560
G2,50,250_500m,min_E[AoI],8245,tx23,0.4,1.67,8245,200.0,0.6076,0.0204,0.490,0.560
G2,50,250_500m,min_PAoI_p95,200.0,tx23,0.4,1.67,8245,200.0,0.6076,0.0204,0.490,0.560
G2,50,250_500m,min_V(A_th=200ms),0.6071,tx23,0.8,5.00,8249,200.0,0.6071,0.0198,0.500,0.560
G2,50,250_500m,min_CLR_broad,0.0198,tx23,0.8,5.00,8249,200.0,0.6071,0.0198,0.500,0.560
G2,95,0_250m,min_E[AoI],8088,tx20,0.8,5.00,8088,100.0,0.6162,0.0050,0.910,0.940
G2,95,0_250m,min_PAoI_p95,100.0,tx17,0.4,1.67,8092,100.0,0.6162,0.0097,0.900,0.940
G2,95,0_250m,min_V(A_th=200ms),0.6162,tx20,0.4,1.67,8095,100.0,0.6162,0.0049,0.920,0.950
G2,95,0_250m,min_CLR_broad,0.0034,tx23,0.8,5.00,8095,100.0,0.6162,0.0034,0.920,0.950
G2,95,250_500m,min_E[AoI],8174,tx23,0.4,1.67,8174,100.0,0.6013,0.0265,0.920,0.950
G2,95,250_500m,min_PAoI_p95,100.0,tx20,0.8,5.00,8183,100.0,0.6023,0.0556,0.910,0.940
G2,95,250_500m,min_V(A_th=200ms),0.6013,tx23,0.4,1.67,8174,100.0,0.6013,0.0265,0.920,0.950
G2,95,250_500m,min_CLR_broad,0.0251,tx23,0.0,1.00,8184,130.0,0.6014,0.0251,0.950,0.980
